ant_nb,trial_nb,state_int,next_state_int,action,action_int,reached_goal
32,8,52,74,"(-1, 1)",5,False
32,8,74,97,"(0, 1)",1,False
32,8,97,120,"(0, 1)",1,False
32,8,120,144,"(1, 1)",7,False
32,8,144,167,"(0, 1)",1,False
32,8,167,190,"(0, 1)",1,False
32,8,190,214,"(1, 1)",7,False
32,8,214,237,"(0, 1)",1,False
32,8,237,238,"(1, 0)",0,False
32,8,238,262,"(1, 1)",7,False
32,8,262,263,"(1, 0)",0,False
32,8,263,287,"(1, 1)",7,False
32,8,287,311,"(1, 1)",7,False
32,8,311,289,"(1, -1)",6,False
32,8,289,313,"(1, 1)",7,False
32,8,313,336,"(0, 1)",1,False
32,8,336,359,"(0, 1)",1,False
32,8,359,382,"(0, 1)",1,False
32,8,382,405,"(0, 1)",1,False
32,8,405,428,"(0, 1)",1,False
32,8,428,451,"(0, 1)",1,False
32,8,451,475,"(1, 1)",7,False
32,8,475,498,"(0, 1)",1,False
32,8,498,474,"(-1, -1)",4,False
32,8,474,450,"(-1, -1)",4,False
32,8,450,451,"(1, 0)",0,False
32,8,451,452,"(1, 0)",0,False
32,8,452,476,"(1, 1)",7,False
32,8,476,500,"(1, 1)",7,False
32,8,500,524,"(1, 1)",7,False
32,8,524,547,"(0, 1)",1,False
32,8,547,569,"(-1, 1)",5,False
32,8,569,592,"(0, 1)",1,False
32,8,592,616,"(1, 1)",7,False
32,8,616,615,"(-1, 0)",2,False
32,8,615,614,"(-1, 0)",2,False
32,8,614,613,"(-1, 0)",2,False
32,8,613,612,"(-1, 0)",2,False
32,8,612,611,"(-1, 0)",2,False
32,8,611,610,"(-1, 0)",2,False
32,8,610,609,"(-1, 0)",2,False
32,8,609,608,"(-1, 0)",2,False
32,8,608,607,"(-1, 0)",2,False
32,8,607,606,"(-1, 0)",2,False
32,8,606,605,"(-1, 0)",2,False
32,8,605,604,"(-1, 0)",2,False
32,8,604,627,"(0, 1)",1,False
32,8,627,628,"(1, 0)",0,False
32,8,628,629,"(1, 0)",0,False
32,8,629,630,"(1, 0)",0,False
32,8,630,631,"(1, 0)",0,False
32,8,631,632,"(1, 0)",0,False
32,8,632,633,"(1, 0)",0,False
32,8,633,634,"(1, 0)",0,False
32,8,634,635,"(1, 0)",0,False
32,8,635,636,"(1, 0)",0,False
32,8,636,637,"(1, 0)",0,False
32,8,637,638,"(1, 0)",0,False
32,8,638,639,"(1, 0)",0,False
32,8,639,662,"(0, 1)",1,False
32,8,662,686,"(1, 1)",7,False
32,8,686,709,"(0, 1)",1,False
32,8,709,733,"(1, 1)",7,False
32,8,733,756,"(0, 1)",1,False
32,8,756,779,"(0, 1)",1,False
32,8,779,802,"(0, 1)",1,False
32,8,802,825,"(0, 1)",1,False
32,8,825,847,"(-1, 1)",5,False
32,8,847,870,"(0, 1)",1,False
32,8,870,892,"(-1, 1)",5,False
32,8,892,915,"(0, 1)",1,False
32,8,915,938,"(0, 1)",1,False
32,8,938,960,"(-1, 1)",5,False
32,8,960,983,"(0, 1)",1,False
32,8,983,1005,"(-1, 1)",5,False
32,8,1005,1027,"(-1, 1)",5,False
32,8,1027,1049,"(-1, 1)",5,False
32,8,1049,1071,"(-1, 1)",5,False
32,8,1071,1093,"(-1, 1)",5,False
32,8,1093,1116,"(0, 1)",1,False
32,8,1116,1138,"(-1, 1)",5,False
32,8,1138,1160,"(-1, 1)",5,False
32,8,1160,1183,"(0, 1)",1,False
32,8,1183,1206,"(0, 1)",1,True
33,10,77,100,"(0, 1)",1,False
33,10,100,123,"(0, 1)",1,False
33,10,123,146,"(0, 1)",1,False
33,10,146,169,"(0, 1)",1,False
33,10,169,192,"(0, 1)",1,False
33,10,192,215,"(0, 1)",1,False
33,10,215,238,"(0, 1)",1,False
33,10,238,261,"(0, 1)",1,False
33,10,261,284,"(0, 1)",1,False
33,10,284,307,"(0, 1)",1,False
33,10,307,331,"(1, 1)",7,False
33,10,331,354,"(0, 1)",1,False
33,10,354,377,"(0, 1)",1,False
33,10,377,400,"(0, 1)",1,False
33,10,400,423,"(0, 1)",1,False
33,10,423,446,"(0, 1)",1,False
33,10,446,469,"(0, 1)",1,False
33,10,469,492,"(0, 1)",1,False
33,10,492,515,"(0, 1)",1,False
33,10,515,538,"(0, 1)",1,False
33,10,538,560,"(-1, 1)",5,False
33,10,560,583,"(0, 1)",1,False
33,10,583,605,"(-1, 1)",5,False
33,10,605,604,"(-1, 0)",2,False
33,10,604,627,"(0, 1)",1,False
33,10,627,626,"(-1, 0)",2,False
33,10,626,649,"(0, 1)",1,False
33,10,649,672,"(0, 1)",1,False
33,10,672,695,"(0, 1)",1,False
33,10,695,718,"(0, 1)",1,False
33,10,718,741,"(0, 1)",1,False
33,10,741,764,"(0, 1)",1,False
33,10,764,787,"(0, 1)",1,False
33,10,787,811,"(1, 1)",7,False
33,10,811,835,"(1, 1)",7,False
33,10,835,858,"(0, 1)",1,False
33,10,858,882,"(1, 1)",7,False
33,10,882,905,"(0, 1)",1,False
33,10,905,928,"(0, 1)",1,False
33,10,928,951,"(0, 1)",1,False
33,10,951,974,"(0, 1)",1,False
33,10,974,997,"(0, 1)",1,False
33,10,997,1020,"(0, 1)",1,False
33,10,1020,1043,"(0, 1)",1,False
33,10,1043,1066,"(0, 1)",1,False
33,10,1066,1089,"(0, 1)",1,False
33,10,1089,1112,"(0, 1)",1,False
33,10,1112,1135,"(0, 1)",1,False
33,10,1135,1158,"(0, 1)",1,False
33,10,1158,1181,"(0, 1)",1,False
33,10,1181,1204,"(0, 1)",1,False
33,10,1204,1205,"(1, 0)",0,False
33,10,1205,1206,"(1, 0)",0,True
34,4,99,123,"(1, 1)",7,False
34,4,123,146,"(0, 1)",1,False
34,4,146,170,"(1, 1)",7,False
34,4,170,193,"(0, 1)",1,False
34,4,193,217,"(1, 1)",7,False
34,4,217,240,"(0, 1)",1,False
34,4,240,264,"(1, 1)",7,False
34,4,264,288,"(1, 1)",7,False
34,4,288,311,"(0, 1)",1,False
34,4,311,334,"(0, 1)",1,False
34,4,334,357,"(0, 1)",1,False
34,4,357,381,"(1, 1)",7,False
34,4,381,404,"(0, 1)",1,False
34,4,404,427,"(0, 1)",1,False
34,4,427,451,"(1, 1)",7,False
34,4,451,474,"(0, 1)",1,False
34,4,474,497,"(0, 1)",1,False
34,4,497,520,"(0, 1)",1,False
34,4,520,543,"(0, 1)",1,False
34,4,543,566,"(0, 1)",1,False
34,4,566,589,"(0, 1)",1,False
34,4,589,612,"(0, 1)",1,False
34,4,612,611,"(-1, 0)",2,False
34,4,611,610,"(-1, 0)",2,False
34,4,610,609,"(-1, 0)",2,False
34,4,609,608,"(-1, 0)",2,False
34,4,608,607,"(-1, 0)",2,False
34,4,607,606,"(-1, 0)",2,False
34,4,606,605,"(-1, 0)",2,False
34,4,605,604,"(-1, 0)",2,False
34,4,604,627,"(0, 1)",1,False
34,4,627,651,"(1, 1)",7,False
34,4,651,652,"(1, 0)",0,False
34,4,652,676,"(1, 1)",7,False
34,4,676,677,"(1, 0)",0,False
34,4,677,701,"(1, 1)",7,False
34,4,701,724,"(0, 1)",1,False
34,4,724,748,"(1, 1)",7,False
34,4,748,772,"(1, 1)",7,False
34,4,772,795,"(0, 1)",1,False
34,4,795,818,"(0, 1)",1,False
34,4,818,842,"(1, 1)",7,False
34,4,842,865,"(0, 1)",1,False
34,4,865,889,"(1, 1)",7,False
34,4,889,913,"(1, 1)",7,False
34,4,913,936,"(0, 1)",1,False
34,4,936,959,"(0, 1)",1,False
34,4,959,981,"(-1, 1)",5,False
34,4,981,1004,"(0, 1)",1,False
34,4,1004,1027,"(0, 1)",1,False
34,4,1027,1050,"(0, 1)",1,False
34,4,1050,1072,"(-1, 1)",5,False
34,4,1072,1094,"(-1, 1)",5,False
34,4,1094,1117,"(0, 1)",1,False
34,4,1117,1140,"(0, 1)",1,False
34,4,1140,1163,"(0, 1)",1,False
34,4,1163,1186,"(0, 1)",1,False
34,4,1186,1185,"(-1, 0)",2,False
34,4,1185,1207,"(-1, 1)",5,False
34,4,1207,1206,"(-1, 0)",2,True
35,2,53,75,"(-1, 1)",5,False
35,2,75,98,"(0, 1)",1,False
35,2,98,121,"(0, 1)",1,False
35,2,121,145,"(1, 1)",7,False
35,2,145,168,"(0, 1)",1,False
35,2,168,169,"(1, 0)",0,False
35,2,169,170,"(1, 0)",0,False
35,2,170,171,"(1, 0)",0,False
35,2,171,193,"(-1, 1)",5,False
35,2,193,215,"(-1, 1)",5,False
35,2,215,238,"(0, 1)",1,False
35,2,238,261,"(0, 1)",1,False
35,2,261,284,"(0, 1)",1,False
35,2,284,307,"(0, 1)",1,False
35,2,307,330,"(0, 1)",1,False
35,2,330,353,"(0, 1)",1,False
35,2,353,376,"(0, 1)",1,False
35,2,376,399,"(0, 1)",1,False
35,2,399,423,"(1, 1)",7,False
35,2,423,446,"(0, 1)",1,False
35,2,446,470,"(1, 1)",7,False
35,2,470,494,"(1, 1)",7,False
35,2,494,517,"(0, 1)",1,False
35,2,517,540,"(0, 1)",1,False
35,2,540,563,"(0, 1)",1,False
35,2,563,587,"(1, 1)",7,False
35,2,587,611,"(1, 1)",7,False
35,2,611,610,"(-1, 0)",2,False
35,2,610,609,"(-1, 0)",2,False
35,2,609,608,"(-1, 0)",2,False
35,2,608,607,"(-1, 0)",2,False
35,2,607,606,"(-1, 0)",2,False
35,2,606,605,"(-1, 0)",2,False
35,2,605,604,"(-1, 0)",2,False
35,2,604,627,"(0, 1)",1,False
35,2,627,628,"(1, 0)",0,False
35,2,628,651,"(0, 1)",1,False
35,2,651,673,"(-1, 1)",5,False
35,2,673,696,"(0, 1)",1,False
35,2,696,720,"(1, 1)",7,False
35,2,720,744,"(1, 1)",7,False
35,2,744,745,"(1, 0)",0,False
35,2,745,723,"(1, -1)",6,False
35,2,723,724,"(1, 0)",0,False
35,2,724,748,"(1, 1)",7,False
35,2,748,749,"(1, 0)",0,False
35,2,749,771,"(-1, 1)",5,False
35,2,771,793,"(-1, 1)",5,False
35,2,793,792,"(-1, 0)",2,False
35,2,792,814,"(-1, 1)",5,False
35,2,814,837,"(0, 1)",1,False
35,2,837,859,"(-1, 1)",5,False
35,2,859,881,"(-1, 1)",5,False
35,2,881,903,"(-1, 1)",5,False
35,2,903,927,"(1, 1)",7,False
35,2,927,950,"(0, 1)",1,False
35,2,950,974,"(1, 1)",7,False
35,2,974,975,"(1, 0)",0,False
35,2,975,999,"(1, 1)",7,False
35,2,999,1022,"(0, 1)",1,False
35,2,1022,1021,"(-1, 0)",2,False
35,2,1021,1020,"(-1, 0)",2,False
35,2,1020,1019,"(-1, 0)",2,False
35,2,1019,1018,"(-1, 0)",2,False
35,2,1018,1042,"(1, 1)",7,False
35,2,1042,1065,"(0, 1)",1,False
35,2,1065,1066,"(1, 0)",0,False
35,2,1066,1090,"(1, 1)",7,False
35,2,1090,1091,"(1, 0)",0,False
35,2,1091,1115,"(1, 1)",7,False
35,2,1115,1139,"(1, 1)",7,False
35,2,1139,1161,"(-1, 1)",5,False
35,2,1161,1183,"(-1, 1)",5,False
35,2,1183,1206,"(0, 1)",1,True
36,7,51,74,"(0, 1)",1,False
36,7,74,97,"(0, 1)",1,False
36,7,97,120,"(0, 1)",1,False
36,7,120,143,"(0, 1)",1,False
36,7,143,166,"(0, 1)",1,False
36,7,166,189,"(0, 1)",1,False
36,7,189,212,"(0, 1)",1,False
36,7,212,235,"(0, 1)",1,False
36,7,235,258,"(0, 1)",1,False
36,7,258,282,"(1, 1)",7,False
36,7,282,305,"(0, 1)",1,False
36,7,305,328,"(0, 1)",1,False
36,7,328,351,"(0, 1)",1,False
36,7,351,374,"(0, 1)",1,False
36,7,374,397,"(0, 1)",1,False
36,7,397,419,"(-1, 1)",5,False
36,7,419,441,"(-1, 1)",5,False
36,7,441,464,"(0, 1)",1,False
36,7,464,487,"(0, 1)",1,False
36,7,487,511,"(1, 1)",7,False
36,7,511,535,"(1, 1)",7,False
36,7,535,558,"(0, 1)",1,False
36,7,558,581,"(0, 1)",1,False
36,7,581,605,"(1, 1)",7,False
36,7,605,604,"(-1, 0)",2,False
36,7,604,627,"(0, 1)",1,False
36,7,627,628,"(1, 0)",0,False
36,7,628,651,"(0, 1)",1,False
36,7,651,674,"(0, 1)",1,False
36,7,674,697,"(0, 1)",1,False
36,7,697,720,"(0, 1)",1,False
36,7,720,742,"(-1, 1)",5,False
36,7,742,765,"(0, 1)",1,False
36,7,765,787,"(-1, 1)",5,False
36,7,787,810,"(0, 1)",1,False
36,7,810,833,"(0, 1)",1,False
36,7,833,856,"(0, 1)",1,False
36,7,856,879,"(0, 1)",1,False
36,7,879,902,"(0, 1)",1,False
36,7,902,925,"(0, 1)",1,False
36,7,925,947,"(-1, 1)",5,False
36,7,947,970,"(0, 1)",1,False
36,7,970,994,"(1, 1)",7,False
36,7,994,1017,"(0, 1)",1,False
36,7,1017,1040,"(0, 1)",1,False
36,7,1040,1063,"(0, 1)",1,False
36,7,1063,1086,"(0, 1)",1,False
36,7,1086,1109,"(0, 1)",1,False
36,7,1109,1133,"(1, 1)",7,False
36,7,1133,1156,"(0, 1)",1,False
36,7,1156,1179,"(0, 1)",1,False
36,7,1179,1180,"(1, 0)",0,False
36,7,1180,1181,"(1, 0)",0,False
36,7,1181,1205,"(1, 1)",7,False
36,7,1205,1206,"(1, 0)",0,True
37,4,99,122,"(0, 1)",1,False
37,4,122,145,"(0, 1)",1,False
37,4,145,169,"(1, 1)",7,False
37,4,169,192,"(0, 1)",1,False
37,4,192,215,"(0, 1)",1,False
37,4,215,239,"(1, 1)",7,False
37,4,239,262,"(0, 1)",1,False
37,4,262,285,"(0, 1)",1,False
37,4,285,309,"(1, 1)",7,False
37,4,309,332,"(0, 1)",1,False
37,4,332,355,"(0, 1)",1,False
37,4,355,378,"(0, 1)",1,False
37,4,378,401,"(0, 1)",1,False
37,4,401,424,"(0, 1)",1,False
37,4,424,446,"(-1, 1)",5,False
37,4,446,469,"(0, 1)",1,False
37,4,469,491,"(-1, 1)",5,False
37,4,491,514,"(0, 1)",1,False
37,4,514,536,"(-1, 1)",5,False
37,4,536,559,"(0, 1)",1,False
37,4,559,582,"(0, 1)",1,False
37,4,582,605,"(0, 1)",1,False
37,4,605,604,"(-1, 0)",2,False
37,4,604,627,"(0, 1)",1,False
37,4,627,628,"(1, 0)",0,False
37,4,628,651,"(0, 1)",1,False
37,4,651,675,"(1, 1)",7,False
37,4,675,698,"(0, 1)",1,False
37,4,698,721,"(0, 1)",1,False
37,4,721,744,"(0, 1)",1,False
37,4,744,767,"(0, 1)",1,False
37,4,767,791,"(1, 1)",7,False
37,4,791,814,"(0, 1)",1,False
37,4,814,837,"(0, 1)",1,False
37,4,837,860,"(0, 1)",1,False
37,4,860,883,"(0, 1)",1,False
37,4,883,906,"(0, 1)",1,False
37,4,906,930,"(1, 1)",7,False
37,4,930,953,"(0, 1)",1,False
37,4,953,975,"(-1, 1)",5,False
37,4,975,998,"(0, 1)",1,False
37,4,998,1021,"(0, 1)",1,False
37,4,1021,1044,"(0, 1)",1,False
37,4,1044,1067,"(0, 1)",1,False
37,4,1067,1090,"(0, 1)",1,False
37,4,1090,1113,"(0, 1)",1,False
37,4,1113,1136,"(0, 1)",1,False
37,4,1136,1159,"(0, 1)",1,False
37,4,1159,1183,"(1, 1)",7,False
37,4,1183,1206,"(0, 1)",1,True
38,7,95,119,"(1, 1)",7,False
38,7,119,142,"(0, 1)",1,False
38,7,142,166,"(1, 1)",7,False
38,7,166,190,"(1, 1)",7,False
38,7,190,213,"(0, 1)",1,False
38,7,213,237,"(1, 1)",7,False
38,7,237,261,"(1, 1)",7,False
38,7,261,284,"(0, 1)",1,False
38,7,284,308,"(1, 1)",7,False
38,7,308,331,"(0, 1)",1,False
38,7,331,355,"(1, 1)",7,False
38,7,355,378,"(0, 1)",1,False
38,7,378,401,"(0, 1)",1,False
38,7,401,425,"(1, 1)",7,False
38,7,425,448,"(0, 1)",1,False
38,7,448,471,"(0, 1)",1,False
38,7,471,494,"(0, 1)",1,False
38,7,494,517,"(0, 1)",1,False
38,7,517,541,"(1, 1)",7,False
38,7,541,564,"(0, 1)",1,False
38,7,564,587,"(0, 1)",1,False
38,7,587,610,"(0, 1)",1,False
38,7,610,609,"(-1, 0)",2,False
38,7,609,608,"(-1, 0)",2,False
38,7,608,607,"(-1, 0)",2,False
38,7,607,606,"(-1, 0)",2,False
38,7,606,605,"(-1, 0)",2,False
38,7,605,604,"(-1, 0)",2,False
38,7,604,627,"(0, 1)",1,False
38,7,627,651,"(1, 1)",7,False
38,7,651,674,"(0, 1)",1,False
38,7,674,697,"(0, 1)",1,False
38,7,697,720,"(0, 1)",1,False
38,7,720,744,"(1, 1)",7,False
38,7,744,767,"(0, 1)",1,False
38,7,767,791,"(1, 1)",7,False
38,7,791,815,"(1, 1)",7,False
38,7,815,838,"(0, 1)",1,False
38,7,838,862,"(1, 1)",7,False
38,7,862,885,"(0, 1)",1,False
38,7,885,908,"(0, 1)",1,False
38,7,908,931,"(0, 1)",1,False
38,7,931,954,"(0, 1)",1,False
38,7,954,977,"(0, 1)",1,False
38,7,977,1000,"(0, 1)",1,False
38,7,1000,1024,"(1, 1)",7,False
38,7,1024,1047,"(0, 1)",1,False
38,7,1047,1070,"(0, 1)",1,False
38,7,1070,1093,"(0, 1)",1,False
38,7,1093,1117,"(1, 1)",7,False
38,7,1117,1140,"(0, 1)",1,False
38,7,1140,1163,"(0, 1)",1,False
38,7,1163,1186,"(0, 1)",1,False
38,7,1186,1209,"(0, 1)",1,False
38,7,1209,1208,"(-1, 0)",2,False
38,7,1208,1207,"(-1, 0)",2,False
38,7,1207,1206,"(-1, 0)",2,True
39,4,98,122,"(1, 1)",7,False
39,4,122,145,"(0, 1)",1,False
39,4,145,169,"(1, 1)",7,False
39,4,169,192,"(0, 1)",1,False
39,4,192,216,"(1, 1)",7,False
39,4,216,239,"(0, 1)",1,False
39,4,239,262,"(0, 1)",1,False
39,4,262,286,"(1, 1)",7,False
39,4,286,309,"(0, 1)",1,False
39,4,309,333,"(1, 1)",7,False
39,4,333,356,"(0, 1)",1,False
39,4,356,379,"(0, 1)",1,False
39,4,379,402,"(0, 1)",1,False
39,4,402,425,"(0, 1)",1,False
39,4,425,448,"(0, 1)",1,False
39,4,448,471,"(0, 1)",1,False
39,4,471,494,"(0, 1)",1,False
39,4,494,516,"(-1, 1)",5,False
39,4,516,539,"(0, 1)",1,False
39,4,539,561,"(-1, 1)",5,False
39,4,561,583,"(-1, 1)",5,False
39,4,583,605,"(-1, 1)",5,False
39,4,605,604,"(-1, 0)",2,False
39,4,604,627,"(0, 1)",1,False
39,4,627,651,"(1, 1)",7,False
39,4,651,673,"(-1, 1)",5,False
39,4,673,696,"(0, 1)",1,False
39,4,696,720,"(1, 1)",7,False
39,4,720,743,"(0, 1)",1,False
39,4,743,767,"(1, 1)",7,False
39,4,767,791,"(1, 1)",7,False
39,4,791,815,"(1, 1)",7,False
39,4,815,837,"(-1, 1)",5,False
39,4,837,860,"(0, 1)",1,False
39,4,860,884,"(1, 1)",7,False
39,4,884,907,"(0, 1)",1,False
39,4,907,929,"(-1, 1)",5,False
39,4,929,951,"(-1, 1)",5,False
39,4,951,950,"(-1, 0)",2,False
39,4,950,972,"(-1, 1)",5,False
39,4,972,995,"(0, 1)",1,False
39,4,995,1018,"(0, 1)",1,False
39,4,1018,1041,"(0, 1)",1,False
39,4,1041,1064,"(0, 1)",1,False
39,4,1064,1086,"(-1, 1)",5,False
39,4,1086,1085,"(-1, 0)",2,False
39,4,1085,1108,"(0, 1)",1,False
39,4,1108,1132,"(1, 1)",7,False
39,4,1132,1155,"(0, 1)",1,False
39,4,1155,1156,"(1, 0)",0,False
39,4,1156,1180,"(1, 1)",7,False
39,4,1180,1181,"(1, 0)",0,False
39,4,1181,1204,"(0, 1)",1,False
39,4,1204,1205,"(1, 0)",0,False
39,4,1205,1206,"(1, 0)",0,True
40,9,52,75,"(0, 1)",1,False
40,9,75,98,"(0, 1)",1,False
40,9,98,121,"(0, 1)",1,False
40,9,121,143,"(-1, 1)",5,False
40,9,143,166,"(0, 1)",1,False
40,9,166,189,"(0, 1)",1,False
40,9,189,212,"(0, 1)",1,False
40,9,212,236,"(1, 1)",7,False
40,9,236,259,"(0, 1)",1,False
40,9,259,281,"(-1, 1)",5,False
40,9,281,304,"(0, 1)",1,False
40,9,304,326,"(-1, 1)",5,False
40,9,326,349,"(0, 1)",1,False
40,9,349,372,"(0, 1)",1,False
40,9,372,395,"(0, 1)",1,False
40,9,395,418,"(0, 1)",1,False
40,9,418,441,"(0, 1)",1,False
40,9,441,465,"(1, 1)",7,False
40,9,465,489,"(1, 1)",7,False
40,9,489,512,"(0, 1)",1,False
40,9,512,535,"(0, 1)",1,False
40,9,535,558,"(0, 1)",1,False
40,9,558,581,"(0, 1)",1,False
40,9,581,604,"(0, 1)",1,False
40,9,604,627,"(0, 1)",1,False
40,9,627,650,"(0, 1)",1,False
40,9,650,673,"(0, 1)",1,False
40,9,673,696,"(0, 1)",1,False
40,9,696,719,"(0, 1)",1,False
40,9,719,742,"(0, 1)",1,False
40,9,742,765,"(0, 1)",1,False
40,9,765,788,"(0, 1)",1,False
40,9,788,810,"(-1, 1)",5,False
40,9,810,833,"(0, 1)",1,False
40,9,833,856,"(0, 1)",1,False
40,9,856,879,"(0, 1)",1,False
40,9,879,902,"(0, 1)",1,False
40,9,902,925,"(0, 1)",1,False
40,9,925,948,"(0, 1)",1,False
40,9,948,971,"(0, 1)",1,False
40,9,971,994,"(0, 1)",1,False
40,9,994,1017,"(0, 1)",1,False
40,9,1017,1040,"(0, 1)",1,False
40,9,1040,1063,"(0, 1)",1,False
40,9,1063,1086,"(0, 1)",1,False
40,9,1086,1109,"(0, 1)",1,False
40,9,1109,1132,"(0, 1)",1,False
40,9,1132,1155,"(0, 1)",1,False
40,9,1155,1178,"(0, 1)",1,False
40,9,1178,1179,"(1, 0)",0,False
40,9,1179,1180,"(1, 0)",0,False
40,9,1180,1181,"(1, 0)",0,False
40,9,1181,1205,"(1, 1)",7,False
40,9,1205,1206,"(1, 0)",0,True
41,4,54,77,"(0, 1)",1,False
41,4,77,100,"(0, 1)",1,False
41,4,100,123,"(0, 1)",1,False
41,4,123,147,"(1, 1)",7,False
41,4,147,170,"(0, 1)",1,False
41,4,170,194,"(1, 1)",7,False
41,4,194,217,"(0, 1)",1,False
41,4,217,241,"(1, 1)",7,False
41,4,241,265,"(1, 1)",7,False
41,4,265,289,"(1, 1)",7,False
41,4,289,313,"(1, 1)",7,False
41,4,313,337,"(1, 1)",7,False
41,4,337,360,"(0, 1)",1,False
41,4,360,383,"(0, 1)",1,False
41,4,383,406,"(0, 1)",1,False
41,4,406,429,"(0, 1)",1,False
41,4,429,452,"(0, 1)",1,False
41,4,452,475,"(0, 1)",1,False
41,4,475,498,"(0, 1)",1,False
41,4,498,522,"(1, 1)",7,False
41,4,522,545,"(0, 1)",1,False
41,4,545,568,"(0, 1)",1,False
41,4,568,591,"(0, 1)",1,False
41,4,591,614,"(0, 1)",1,False
41,4,614,613,"(-1, 0)",2,False
41,4,613,612,"(-1, 0)",2,False
41,4,612,611,"(-1, 0)",2,False
41,4,611,610,"(-1, 0)",2,False
41,4,610,609,"(-1, 0)",2,False
41,4,609,608,"(-1, 0)",2,False
41,4,608,607,"(-1, 0)",2,False
41,4,607,606,"(-1, 0)",2,False
41,4,606,605,"(-1, 0)",2,False
41,4,605,604,"(-1, 0)",2,False
41,4,604,627,"(0, 1)",1,False
41,4,627,628,"(1, 0)",0,False
41,4,628,629,"(1, 0)",0,False
41,4,629,630,"(1, 0)",0,False
41,4,630,631,"(1, 0)",0,False
41,4,631,632,"(1, 0)",0,False
41,4,632,633,"(1, 0)",0,False
41,4,633,634,"(1, 0)",0,False
41,4,634,635,"(1, 0)",0,False
41,4,635,636,"(1, 0)",0,False
41,4,636,637,"(1, 0)",0,False
41,4,637,636,"(-1, 0)",2,False
41,4,636,635,"(-1, 0)",2,False
41,4,635,634,"(-1, 0)",2,False
41,4,634,633,"(-1, 0)",2,False
41,4,633,632,"(-1, 0)",2,False
41,4,632,631,"(-1, 0)",2,False
41,4,631,653,"(-1, 1)",5,False
41,4,653,652,"(-1, 0)",2,False
41,4,652,651,"(-1, 0)",2,False
41,4,651,652,"(1, 0)",0,False
41,4,652,676,"(1, 1)",7,False
41,4,676,700,"(1, 1)",7,False
41,4,700,701,"(1, 0)",0,False
41,4,701,725,"(1, 1)",7,False
41,4,725,748,"(0, 1)",1,False
41,4,748,771,"(0, 1)",1,False
41,4,771,794,"(0, 1)",1,False
41,4,794,818,"(1, 1)",7,False
41,4,818,841,"(0, 1)",1,False
41,4,841,864,"(0, 1)",1,False
41,4,864,887,"(0, 1)",1,False
41,4,887,910,"(0, 1)",1,False
41,4,910,932,"(-1, 1)",5,False
41,4,932,955,"(0, 1)",1,False
41,4,955,978,"(0, 1)",1,False
41,4,978,1001,"(0, 1)",1,False
